bcr_sample_barcode	bcr_aliquot_barcode	amount	bcr_aliquot_uuid	biospecimen_barcode_bottom	center_id	concentration	date_of_shipment	plate_column	plate_id	plate_row	source_center
TCGA-CV-A45X-10A	TCGA-CV-A45X-10A-01D-A255-01	6.70	9876DCE1-360B-47BC-B42C-1D6332BE85A1	0132257421	01	0.14	2012-12-19	3	A255	E	23
TCGA-CV-A45X-10A	TCGA-CV-A45X-10A-01D-A25E-08	40.00	C9738E6D-FBEF-41E4-98D5-3ED2934F18BD	0132256331	08	0.07	2012-12-19	3	A25E	E	23
TCGA-CV-A45X-10A	TCGA-CV-A45X-10A-01W-A280-08	80.00	460EA440-8C3E-421F-9AAF-4A936B5EE76A	0145633293	08	0.50	2013-03-25	3	A280	E	23
TCGA-CV-A45Y-01A	TCGA-CV-A45Y-01A-11D-A253-01	6.70	1BE61908-3359-4795-A912-75E8BB489FC1	0132255002	01	0.16	2012-12-19	3	A253	F	23
TCGA-CV-A45Y-01A	TCGA-CV-A45Y-01A-11D-A254-05	13.00	F4D0856A-5563-42DB-97F2-2FD7DC5825C9	0132236282	05	0.16	2012-12-19	3	A254	F	23
TCGA-CV-A45Y-01A	TCGA-CV-A45Y-01A-11D-A25D-08	40.00	B79C0C3C-2629-47F7-9C9A-F2275562FAC2	0132257210	08	0.08	2012-12-19	3	A25D	F	23
TCGA-CV-A45Y-01A	TCGA-CV-A45Y-01A-11R-A24Z-07	13.00	BC1590FE-7872-4C8F-A61F-B8E8FD9C83B8	0132256451	07	0.18	2012-12-19	2	A24Z	B	23
TCGA-CV-A45Y-01A	TCGA-CV-A45Y-01A-11R-A25B-13	20.00	A0680237-EFAE-493C-AB61-A9951F433D01	0132256142	13	0.18	2012-12-19	2	A25B	B	23
TCGA-CV-A45Y-01A	TCGA-CV-A45Y-01A-11W-A27Z-08	80.00	D283D2BA-E9F7-4C06-8663-3EB8E6EC0116	0145633946	08	0.50	2013-03-25	3	A27Z	F	23
TCGA-CV-A45Y-10A	TCGA-CV-A45Y-10A-01D-A255-01	6.70	9C110EFD-6015-45F9-A50C-58DEC3F1F451	0132257402	01	0.16	2012-12-19	3	A255	F	23
TCGA-CV-A45Y-10A	TCGA-CV-A45Y-10A-01D-A25E-08	40.00	8589AD74-B246-4C76-A42C-2BD32A68DDCF	0132257676	08	0.08	2012-12-19	3	A25E	F	23
TCGA-CV-A45Y-10A	TCGA-CV-A45Y-10A-01W-A280-08	80.00	F9034531-F0C3-467D-99D5-72A1BDCFF13C	0145633274	08	0.50	2013-03-25	3	A280	F	23
TCGA-CV-A45Z-01A	TCGA-CV-A45Z-01A-21D-A253-01	6.70	6512C7BB-985F-4C5F-87A8-78AEA3C8DE67	0132254997	01	0.15	2012-12-19	3	A253	G	23
TCGA-CV-A45Z-01A	TCGA-CV-A45Z-01A-21D-A254-05	13.00	B05B9D08-CFA3-4AAE-8FF1-2F0AB4B8AF73	0132236277	05	0.15	2012-12-19	3	A254	G	23
TCGA-CV-A45Z-01A	TCGA-CV-A45Z-01A-21D-A25D-08	40.00	102A8C01-F470-4CE0-9A52-31B8F0BF8632	0132257205	08	0.08	2012-12-19	3	A25D	G	23
TCGA-CV-A45Z-01A	TCGA-CV-A45Z-01A-21R-A24Z-07	13.00	42E29D02-5E77-43DB-99CC-28A7528E3BC4	0132256450	07	0.18	2012-12-19	2	A24Z	C	23
TCGA-CV-A45Z-01A	TCGA-CV-A45Z-01A-21R-A25B-13	20.00	7BF4A4BA-2E45-42E2-939F-6DEB32EC7D54	0132256161	13	0.18	2012-12-19	2	A25B	C	23
TCGA-CV-A45Z-01A	TCGA-CV-A45Z-01A-21W-A27Z-08	80.00	1050FFD4-2568-4B35-AF3F-176BDAE722EC	0145633941	08	0.50	2013-03-25	3	A27Z	G	23
TCGA-CV-A45Z-10A	TCGA-CV-A45Z-10A-01D-A255-01	6.70	CA58F4D6-F7B6-4ADF-B210-00530BB6E60B	0132257397	01	0.15	2012-12-19	3	A255	G	23
TCGA-CV-A45Z-10A	TCGA-CV-A45Z-10A-01D-A25E-08	40.00	EE14DA16-7B76-4FC7-8FBB-45EA8FAD1EB5	0132257267	08	0.07	2012-12-19	3	A25E	G	23
TCGA-CV-A45Z-10A	TCGA-CV-A45Z-10A-01W-A280-08	80.00	D3E1EF28-FE8C-415A-80E4-A322DBC35CFE	0145633269	08	0.50	2013-03-25	3	A280	G	23
TCGA-CV-A460-01A	TCGA-CV-A460-01A-21D-A253-01	6.70	20D893FC-8A92-4AE9-ACD2-C50636BDA7BA	0132255068	01	0.16	2012-12-19	4	A253	A	23
TCGA-CV-A460-01A	TCGA-CV-A460-01A-21D-A254-05	13.00	449F33C4-2FE1-4519-BA1B-58DC09257621	0132236348	05	0.16	2012-12-19	4	A254	A	23
TCGA-CV-A460-01A	TCGA-CV-A460-01A-21D-A25D-08	40.00	EE4B4191-9827-433A-94EA-7E51D6B80C14	0132257276	08	0.08	2012-12-19	4	A25D	A	23
TCGA-CV-A460-01A	TCGA-CV-A460-01A-21R-A24Z-07	13.00	0627DAF6-B2B0-4CE7-BF69-8756283044BA	0132256428	07	0.18	2012-12-19	2	A24Z	D	23
TCGA-CV-A460-01A	TCGA-CV-A460-01A-21R-A25B-13	20.00	B6ECDECA-8A21-481F-BECC-5C96D87D80A0	0132256166	13	0.18	2012-12-19	2	A25B	D	23
TCGA-CV-A460-01A	TCGA-CV-A460-01A-21W-A27Z-08	80.00	8F003E5E-E2D7-4C70-A1E9-B4AFF7B6422B	0145633489	08	0.50	2013-03-25	4	A27Z	A	23
TCGA-CV-A460-10A	TCGA-CV-A460-10A-01D-A255-01	6.70	6B83769B-A3F5-4C1F-AA2C-0823922B30EE	0132257468	01	0.16	2012-12-19	4	A255	A	23
TCGA-CV-A460-10A	TCGA-CV-A460-10A-01D-A25E-08	40.00	EF5A907A-45D4-404D-8A88-C4B6F6E932BD	0132257379	08	0.08	2012-12-19	4	A25E	A	23
TCGA-CV-A460-10A	TCGA-CV-A460-10A-01W-A280-08	80.00	D3C96DF0-FF70-4C6B-84BF-C83128536D03	0145633340	08	0.50	2013-03-25	4	A280	A	23
TCGA-CV-A461-01A	TCGA-CV-A461-01A-41D-A25X-01	6.70	6550AEB9-D066-4DAC-8677-57245CDFA92C	0132159499	01	0.15	2013-01-30	5	A25X	E	23
TCGA-CV-A461-01A	TCGA-CV-A461-01A-41D-A25Y-08	40.00	546336D7-D79A-415F-A3D4-15C706B425E9	0128925179	08	0.07	2013-01-30	5	A25Y	E	23
TCGA-CV-A461-01A	TCGA-CV-A461-01A-41D-A265-05	13.00	C50F4F84-3FA2-45FD-834A-87DCFACA2268	0132147691	05	0.15	2013-01-30	5	A265	E	23
TCGA-CV-A461-01A	TCGA-CV-A461-01A-41R-A25Z-13	20.00	4465B682-BFDA-4A87-B9E0-3D50AD2F0CAD	0128924852	13	0.16	2013-01-30	4	A25Z	G	23
TCGA-CV-A461-01A	TCGA-CV-A461-01A-41R-A266-07	13.00	3423EDF4-E843-4EB1-A4CE-2EAE69C88DD5	0128925140	07	0.16	2013-01-30	4	A266	G	23
TCGA-CV-A461-01A	TCGA-CV-A461-01A-41W-A296-08	80.00	8DFCBF5D-BAC5-4A22-B8A3-D8BB7709D967	0132260561	08	0.50	2013-05-08	5	A296	E	23
TCGA-CV-A461-10A	TCGA-CV-A461-10A-01D-A25X-01	6.70	BB85F4C1-79FE-4BE3-8856-1172C59A650B	0128924441	01	0.16	2013-01-30	11	A25X	E	23
TCGA-CV-A461-10A	TCGA-CV-A461-10A-01D-A25Y-08	40.00	94DF0B0F-8997-49EF-9AC2-8A31698AA389	0128924408	08	0.08	2013-01-30	11	A25Y	E	23
TCGA-CV-A461-10A	TCGA-CV-A461-10A-01W-A296-08	80.00	E198E234-8493-45BF-8203-1831BFCA6261	0132260624	08	0.50	2013-05-08	11	A296	E	23
TCGA-CV-A463-01A	TCGA-CV-A463-01A-11D-A25X-01	6.70	09A7E755-B4BB-493F-84E0-D5DDA10D2216	0132159484	01	0.16	2013-01-30	5	A25X	F	23
TCGA-CV-A463-01A	TCGA-CV-A463-01A-11D-A25Y-08	40.00	2B408A5D-6FDB-4B3C-88E8-C7C1D98A90A5	0128925156	08	0.08	2013-01-30	5	A25Y	F	23
TCGA-CV-A463-01A	TCGA-CV-A463-01A-11D-A265-05	13.00	DC78768B-35BC-4968-A107-662C90BF8B64	0132147676	05	0.16	2013-01-30	5	A265	F	23
TCGA-CV-A463-01A	TCGA-CV-A463-01A-11R-A25Z-13	20.00	9885DA6B-2219-4D5A-BF3E-BDC958D6D3DE	0128923793	13	0.18	2013-01-30	4	A25Z	H	23
TCGA-CV-A463-01A	TCGA-CV-A463-01A-11R-A266-07	13.00	5A9F6826-1722-43E5-BE3B-B614AA5F3C10	0128925123	07	0.18	2013-01-30	4	A266	H	23
TCGA-CV-A463-01A	TCGA-CV-A463-01A-11W-A296-08	80.00	62FABD6C-B0D8-4265-B86A-F84AA82BF6C1	0132260574	08	0.50	2013-05-08	5	A296	F	23
TCGA-CV-A463-10A	TCGA-CV-A463-10A-01D-A25X-01	6.70	855A871F-1436-41F7-B91F-10DE0EB3936C	0128924440	01	0.14	2013-01-30	11	A25X	F	23
TCGA-CV-A463-10A	TCGA-CV-A463-10A-01D-A25Y-08	40.00	1D44F50D-773D-45F4-83DF-FB6567A2BCDB	0128924409	08	0.07	2013-01-30	11	A25Y	F	23
TCGA-CV-A463-10A	TCGA-CV-A463-10A-01W-A296-08	80.00	B5FE6EAF-7B6E-45DF-99F5-6CB8CE192724	0132260607	08	0.50	2013-05-08	11	A296	F	23
TCGA-CV-A464-01A	TCGA-CV-A464-01A-11D-A25X-01	6.70	5CC941E9-67B0-4E35-B671-3A448936CB85	0132159475	01	0.16	2013-01-30	5	A25X	G	23
TCGA-CV-A464-01A	TCGA-CV-A464-01A-11D-A25Y-08	40.00	23FC1135-E9CD-43EF-A121-8F2C81F3FCB8	0128925155	08	0.08	2013-01-30	5	A25Y	G	23
TCGA-CV-A464-01A	TCGA-CV-A464-01A-11D-A265-05	13.00	F0E2D64F-9E16-4667-A2A7-2A40D90DBE19	0132147667	05	0.16	2013-01-30	5	A265	G	23
