,n_patients,tumor_t1t2,event_free_survival,gender,rate,survival
UNC13C,18,1.0,0.91039546069171784,1.0,0.066455995188671721,0.89283905518661377
ADAMTS20,21,1.0,0.91039546069171784,1.0,0.073307363390361979,0.89283905518661377
TRPV5,11,1.0,0.91039546069171784,1.0,0.073532957820761038,0.89283905518661377
THSD7B,17,1.0,0.91039546069171784,1.0,0.074511437653001666,0.89283905518661377
NCAM2,11,1.0,0.91039546069171784,1.0,0.075184018985699236,0.89283905518661377
ZNF804B,29,1.0,0.91039546069171784,1.0,0.077513288602180069,0.89283905518661377
HUWE1,17,1.0,0.91039546069171784,1.0,0.084779802785684796,0.89283905518661377
GABRG1,13,1.0,0.91039546069171784,1.0,0.085747638423873743,0.89283905518661377
ODZ1,19,1.0,0.91039546069171784,1.0,0.090932200042171146,0.89283905518661377
SOS1,11,1.0,0.91039546069171784,1.0,0.092143374414044202,0.89283905518661377
FER1L6,12,1.0,0.91039546069171784,1.0,0.093249279719223685,0.89283905518661377
LRFN5,21,1.0,0.91039546069171784,1.0,0.099261526805126787,0.89283905518661377
ENPEP,11,1.0,0.91039546069171784,1.0,0.10142975477157945,0.89283905518661377
MKI67,11,1.0,0.91039546069171784,1.0,0.10142975477157945,0.89283905518661377
HYDIN,14,1.0,0.91039546069171784,1.0,0.1027777394603018,0.89283905518661377
STON1-GTF2A1L,17,1.0,0.91039546069171784,1.0,0.1027777394603018,0.89283905518661377
FLNA,13,1.0,0.91039546069171784,1.0,0.10549739942516652,0.89283905518661377
GALNT13,13,1.0,0.91039546069171784,1.0,0.10953746147383908,0.89283905518661377
KCNH8,11,1.0,0.91039546069171784,1.0,0.11482150235908244,0.89283905518661377
OTOF,12,1.0,0.91039546069171784,1.0,0.11839460760631532,0.89283905518661377
ANKS1B,13,1.0,0.91039546069171784,1.0,0.11932201999919632,0.89283905518661377
HIVEP1,12,1.0,0.91039546069171784,1.0,0.12037534167801742,0.89283905518661377
SLCO1B1,13,1.0,0.91039546069171784,1.0,0.12155976316176836,0.89283905518661377
ZAN,11,1.0,0.91039546069171784,1.0,0.13135285486980239,0.89283905518661377
TNN,19,1.0,0.91039546069171784,1.0,0.13914157161960808,0.89283905518661377
TNC,13,1.0,0.91039546069171784,1.0,0.14164931562164532,0.89283905518661377
KCNJ3,11,1.0,0.91039546069171784,1.0,0.14360894959986042,0.89283905518661377
RP1,28,1.0,0.91039546069171784,1.0,0.14848725570012775,0.89283905518661377
PIKFYVE,9,1.0,0.91039546069171784,1.0,0.16294790239629736,0.89283905518661377
C7,10,1.0,0.91039546069171784,1.0,0.18643386061900122,0.89283905518661377
GRM3,13,1.0,0.91039546069171784,1.0,0.18747474614285928,0.89283905518661377
TAF1,13,1.0,0.91039546069171784,1.0,0.19359842938109023,0.89283905518661377
DPP6,11,1.0,0.91039546069171784,1.0,0.19413221813136955,0.89283905518661377
PPP1R3A,15,1.0,0.91039546069171784,1.0,0.22237458747693375,0.89283905518661377
USP29,17,1.0,0.91039546069171784,1.0,0.22606331022612591,0.89283905518661377
ZNF479,13,1.0,0.91039546069171784,1.0,0.23646574110973748,0.89283905518661377
EPB41L3,18,1.0,0.91039546069171784,1.0,0.23774234569584854,0.89283905518661377
GUCY1A2,10,1.0,0.91039546069171784,1.0,0.25586343006927276,0.89283905518661377
LAMA1,14,1.0,0.91039546069171784,1.0,0.25586343006927276,0.89283905518661377
NOTCH1,14,1.0,0.91039546069171784,1.0,0.2629635717686013,0.89283905518661377
NF1,21,1.0,0.91039546069171784,1.0,0.28406575683918334,0.89283905518661377
TECTA,13,1.0,0.91039546069171784,1.0,0.28468406124326306,0.89283905518661377
UNC5D,17,1.0,0.91039546069171784,1.0,0.29345785586972006,0.89283905518661377
ADCY2,14,1.0,0.91039546069171784,1.0,0.29892529273088986,0.89283905518661377
PLEC,12,1.0,0.91039546069171784,1.0,0.34153721893518957,0.89283905518661377
EPHA6,14,1.0,0.91039546069171784,1.0,0.34937914910475271,0.89283905518661377
PREX1,13,1.0,0.91039546069171784,1.0,0.34937914910475271,0.89283905518661377
CDKN2A,26,1.0,0.91039546069171784,1.0,0.36214781242880895,0.89283905518661377
GOLGA3,13,1.0,0.91039546069171784,1.0,0.36885629933724456,0.89283905518661377
ARID1A,11,1.0,0.91039546069171784,1.0,0.37599046426596139,0.89283905518661377
OR4M1,13,1.0,0.91039546069171784,1.0,0.3766234681078382,0.89283905518661377
COL2A1,12,1.0,0.91039546069171784,1.0,0.3866597973830565,0.89283905518661377
TG,14,1.0,0.91039546069171784,1.0,0.44626737452842413,0.89283905518661377
ZNF99,17,1.0,0.91039546069171784,1.0,0.49803266733336982,0.89283905518661377
LCT,17,1.0,0.91039546069171784,1.0,0.52234975750213375,0.89283905518661377
PRKDC,12,1.0,0.91039546069171784,1.0,0.53180086975118945,0.89283905518661377
OR5D18,14,1.0,0.91039546069171784,1.0,0.59205155198992798,0.89283905518661377
LRP1,14,1.0,0.91039546069171784,1.0,0.64352777801431627,0.89283905518661377
RB1,12,1.0,0.91039546069171784,1.0,0.71000958114195345,0.89283905518661377
HECW1,12,1.0,0.91039546069171784,1.0,0.77521384785477676,0.89283905518661377
SGIP1,12,1.0,0.91039546069171784,1.0,0.832637783029339,0.89283905518661377
FSHR,15,1.0,0.91039546069171784,1.0,0.88395039597688707,0.89283905518661377
GRIN2A,14,0.38661239420244975,0.9212486692311429,1.0,0.036538109879905974,0.89283905518661377
CLSTN2,16,0.49464860127023991,0.9212486692311429,1.0,0.32208503435261576,0.89283905518661377
ZNF33A,11,0.9467782328576313,0.9212486692311429,1.0,0.098325918690090691,0.89283905518661377
NDST4,12,0.97168872632301972,0.9212486692311429,1.0,0.1862253210299922,0.89283905518661377
MAGEC1,16,0.99066342443299615,0.9212486692311429,1.0,0.062597952561220721,0.89283905518661377
FAM123C,12,1.0,0.9212486692311429,1.0,0.00041956502073004593,0.89283905518661377
LRP1B,67,1.0,0.9212486692311429,1.0,0.00057522328190802972,0.89283905518661377
COL22A1,28,1.0,0.9212486692311429,1.0,0.0020466064679778209,0.89283905518661377
OR2G6,15,1.0,0.9212486692311429,1.0,0.0023016886354686951,0.89283905518661377
DNAH11,37,1.0,0.9212486692311429,1.0,0.00316724803076041,0.89283905518661377
MDN1,22,1.0,0.9212486692311429,1.0,0.00316724803076041,0.89283905518661377
EPHA5,15,1.0,0.9212486692311429,1.0,0.0045967588506459472,0.89283905518661377
LAMA4,16,1.0,0.9212486692311429,1.0,0.0055859169848652013,0.89283905518661377
NAV3,32,1.0,0.9212486692311429,1.0,0.0055859169848652013,0.89283905518661377
SLITRK3,26,1.0,0.9212486692311429,1.0,0.0055859169848652013,0.89283905518661377
VPS13B,20,1.0,0.9212486692311429,1.0,0.0055859169848652013,0.89283905518661377
CNTNAP2,23,1.0,0.9212486692311429,1.0,0.0061755211852681634,0.89283905518661377
COL19A1,16,1.0,0.9212486692311429,1.0,0.0061755211852681634,0.89283905518661377
UTRN,13,1.0,0.9212486692311429,1.0,0.0062479202414514557,0.89283905518661377
SCN11A,11,1.0,0.9212486692311429,1.0,0.0065161388699798688,0.89283905518661377
MYH1,21,1.0,0.9212486692311429,1.0,0.0069752820091001713,0.89283905518661377
TET1,11,1.0,0.9212486692311429,1.0,0.0089792917450725578,0.89283905518661377
DST,14,1.0,0.9212486692311429,1.0,0.0093524932888442072,0.89283905518661377
CSMD1,32,1.0,0.9212486692311429,1.0,0.010107846037390299,0.89283905518661377
DOCK10,14,1.0,0.9212486692311429,1.0,0.010313415565158168,0.89283905518661377
SYNE2,20,1.0,0.9212486692311429,1.0,0.010398863271653281,0.89283905518661377
NLRP14,13,1.0,0.9212486692311429,1.0,0.010728971258160011,0.89283905518661377
APOB,28,1.0,0.9212486692311429,1.0,0.01080479865347321,0.89283905518661377
DNAH8,31,1.0,0.9212486692311429,1.0,0.012002266770829537,0.89283905518661377
CDH12,23,1.0,0.9212486692311429,1.0,0.012555072899163289,0.89283905518661377
C2orf16,13,1.0,0.9212486692311429,1.0,0.013342645325040882,0.89283905518661377
DIDO1,12,1.0,0.9212486692311429,1.0,0.013958209450323503,0.89283905518661377
CDH18,23,1.0,0.9212486692311429,1.0,0.014072255596902483,0.89283905518661377
NCKAP1L,12,1.0,0.9212486692311429,1.0,0.015142094063105691,0.89283905518661377
TPTE,24,1.0,0.9212486692311429,1.0,0.016776298250685287,0.89283905518661377
KIAA1549,14,1.0,0.9212486692311429,1.0,0.019821104141136157,0.89283905518661377
PLCH1,14,1.0,0.9212486692311429,1.0,0.019821104141136157,0.89283905518661377
VWF,16,1.0,0.9212486692311429,1.0,0.021899847361240222,0.89283905518661377
DGKI,11,1.0,0.9212486692311429,1.0,0.023388267105296432,0.89283905518661377
CTNNA3,14,1.0,0.9212486692311429,1.0,0.024084120963747926,0.89283905518661377
PCDHB12,11,1.0,0.9212486692311429,1.0,0.02857608193344879,0.89283905518661377
TRHDE,14,1.0,0.9212486692311429,1.0,0.02857608193344879,0.89283905518661377
NRAP,12,1.0,0.9212486692311429,1.0,0.029018355119025663,0.89283905518661377
C20orf26,18,1.0,0.9212486692311429,1.0,0.02966268039069395,0.89283905518661377
C1orf173,32,1.0,0.9212486692311429,1.0,0.030154895751925946,0.89283905518661377
RANBP2,13,1.0,0.9212486692311429,1.0,0.030382069045730063,0.89283905518661377
ATG2B,13,1.0,0.9212486692311429,1.0,0.032637185440590154,0.89283905518661377
LRRC7,27,1.0,0.9212486692311429,1.0,0.033120306589721996,0.89283905518661377
OR6F1,13,1.0,0.9212486692311429,1.0,0.034321527169747151,0.89283905518661377
PTPRB,13,1.0,0.9212486692311429,1.0,0.037280269417233301,0.89283905518661377
HCN1,30,1.0,0.9212486692311429,1.0,0.037941898057863091,0.89283905518661377
TNR,24,1.0,0.9212486692311429,1.0,0.037941898057863091,0.89283905518661377
CNTNAP5,27,1.0,0.9212486692311429,1.0,0.038169639225033379,0.89283905518661377
DYSF,15,1.0,0.9212486692311429,1.0,0.038879384219898352,0.89283905518661377
CEP350,12,1.0,0.9212486692311429,1.0,0.039017525155077309,0.89283905518661377
MYPN,11,1.0,0.9212486692311429,1.0,0.039456032658118222,0.89283905518661377
FMN2,23,1.0,0.9212486692311429,1.0,0.044699186296410461,0.89283905518661377
GABRA2,11,1.0,0.9212486692311429,1.0,0.045365471408755575,0.89283905518661377
COL5A3,9,1.0,0.9212486692311429,1.0,0.04646962176539577,0.89283905518661377
NLGN1,12,1.0,0.9212486692311429,1.0,0.04818899306378286,0.89283905518661377
MYCBP2,19,1.0,0.9212486692311429,1.0,0.049877975238776177,0.89283905518661377
ZNF236,16,1.0,0.9212486692311429,1.0,0.052289842762862963,0.89283905518661377
ZEB2,14,1.0,0.9212486692311429,1.0,0.052508079269056013,0.89283905518661377
PNLIPRP3,11,1.0,0.9212486692311429,1.0,0.05942061288534662,0.89283905518661377
COL3A1,13,1.0,0.9212486692311429,1.0,0.061591423921410565,0.89283905518661377
C15orf2,13,1.0,0.9212486692311429,1.0,0.062121020434128559,0.89283905518661377
AOX1,12,1.0,0.9212486692311429,1.0,0.066968818256401635,0.89283905518661377
BPTF,13,1.0,0.9212486692311429,1.0,0.067141114494011486,0.89283905518661377
BRWD3,15,1.0,0.9212486692311429,1.0,0.067141114494011486,0.89283905518661377
KCNH7,12,1.0,0.9212486692311429,1.0,0.070590256391780348,0.89283905518661377
PTPRD,14,1.0,0.9212486692311429,1.0,0.071715157809178295,0.89283905518661377
ASPM,14,1.0,0.9212486692311429,1.0,0.073307363390361979,0.89283905518661377
NLRP13,17,1.0,0.9212486692311429,1.0,0.073307363390361979,0.89283905518661377
THSD7A,13,1.0,0.9212486692311429,1.0,0.073307363390361979,0.89283905518661377
PYHIN1,11,1.0,0.9212486692311429,1.0,0.075766961684088197,0.89283905518661377
GPR112,15,1.0,0.9212486692311429,1.0,0.084180532899669189,0.89283905518661377
OR4C6,14,1.0,0.9212486692311429,1.0,0.084180532899669189,0.89283905518661377
INADL,12,1.0,0.9212486692311429,1.0,0.085538488190419024,0.89283905518661377
MYO16,11,1.0,0.9212486692311429,1.0,0.086288905998809132,0.89283905518661377
GRM1,11,1.0,0.9212486692311429,1.0,0.090932200042171146,0.89283905518661377
CUL3,11,1.0,0.9212486692311429,1.0,0.093249279719223685,0.89283905518661377
FRMPD2,11,1.0,0.9212486692311429,1.0,0.094429322969508511,0.89283905518661377
WHSC1L1,13,1.0,0.9212486692311429,1.0,0.094524267516114285,0.89283905518661377
KCNT2,12,1.0,0.9212486692311429,1.0,0.10049365586815702,0.89283905518661377
RGAG1,12,1.0,0.9212486692311429,1.0,0.10698829299111977,0.89283905518661377
CNKSR2,11,1.0,0.9212486692311429,1.0,0.11141049757642407,0.89283905518661377
ACSM2B,13,1.0,0.9212486692311429,1.0,0.11257503754296772,0.89283905518661377
NLRP8,12,1.0,0.9212486692311429,1.0,0.11257503754296772,0.89283905518661377
OCA2,12,1.0,0.9212486692311429,1.0,0.1126368917559154,0.89283905518661377
ITIH5L,12,1.0,0.9212486692311429,1.0,0.11655565746801402,0.89283905518661377
ZBBX,17,1.0,0.9212486692311429,1.0,0.11765525696163728,0.89283905518661377
KEAP1,21,1.0,0.9212486692311429,1.0,0.11839460760631532,0.89283905518661377
PCDH17,14,1.0,0.9212486692311429,1.0,0.16171077508006915,0.89283905518661377
DCC,13,1.0,0.9212486692311429,1.0,0.17576011877755476,0.89283905518661377
FAM47C,17,1.0,0.9212486692311429,1.0,0.18157371027708466,0.89283905518661377
MMP16,15,1.0,0.9212486692311429,1.0,0.19207987938583518,0.89283905518661377
MUC6,15,1.0,0.9212486692311429,1.0,0.19404753668982561,0.89283905518661377
SCN3A,13,1.0,0.9212486692311429,1.0,0.20688181476343889,0.89283905518661377
LAMA2,22,1.0,0.9212486692311429,1.0,0.20820356393646719,0.89283905518661377
TRPA1,14,1.0,0.9212486692311429,1.0,0.21985381112842295,0.89283905518661377
IQGAP3,11,1.0,0.9212486692311429,1.0,0.2210719878020985,0.89283905518661377
PRG4,12,1.0,0.9212486692311429,1.0,0.22237704965686386,0.89283905518661377
CADPS2,14,1.0,0.9212486692311429,1.0,0.23542012304409909,0.89283905518661377
HEPH,15,1.0,0.9212486692311429,1.0,0.25065202651601554,0.89283905518661377
ABCA4,12,1.0,0.9212486692311429,1.0,0.25586343006927276,0.89283905518661377
WDR72,12,1.0,0.9212486692311429,1.0,0.28387317839127679,0.89283905518661377
PCDH7,11,1.0,0.9212486692311429,1.0,0.29079688953206129,0.89283905518661377
ZNF91,17,1.0,0.9212486692311429,1.0,0.3037186995039115,0.89283905518661377
KLHL1,17,1.0,0.9212486692311429,1.0,0.31677116415080969,0.89283905518661377
DPP10,15,1.0,0.9212486692311429,1.0,0.37938078853561236,0.89283905518661377
OR2M2,10,1.0,0.9212486692311429,1.0,0.38313162233284881,0.89283905518661377
MCF2,11,1.0,0.9212486692311429,1.0,0.38825000900548917,0.89283905518661377
ATP10A,16,1.0,0.9212486692311429,1.0,0.46448309187134285,0.89283905518661377
CR2,10,1.0,0.9212486692311429,1.0,0.5170589268055874,0.89283905518661377
TNIK,11,1.0,0.9212486692311429,1.0,0.52391469630665177,0.89283905518661377
PDE1C,11,1.0,0.9212486692311429,1.0,0.62646126046710471,0.89283905518661377
CHD7,16,1.0,0.9212486692311429,1.0,0.64847049339694884,0.89283905518661377
F13B,12,1.0,0.9212486692311429,1.0,0.80604749442422408,0.89283905518661377
ODZ3,16,1.0,0.9212486692311429,1.0,0.83313314370882086,0.89283905518661377
NFE2L2,27,1.0,0.9212486692311429,1.0,0.93319799666434511,0.89283905518661377
CUBN,31,1.0,0.9212486692311429,1.0,0.037891642594306774,0.89291480970992376
NLRP3,11,1.0,0.9212486692311429,1.0,0.045423378197312403,0.89306226564821523
ZNF831,13,1.0,0.9212486692311429,1.0,0.067141114494011486,0.89306226564821523
RNASEN,13,1.0,0.9212486692311429,1.0,0.14164931562164532,0.89306226564821523
FAM5B,14,1.0,0.9212486692311429,1.0,0.14439017814839544,0.89306226564821523
GPR158,14,1.0,0.9212486692311429,1.0,0.17516119942899644,0.89306226564821523
PAPPA2,31,1.0,0.9212486692311429,1.0,0.015262654803602456,0.89929510558600945
TRRAP,11,1.0,0.9212486692311429,1.0,0.037941898057863091,0.89929510558600945
PREX2,19,1.0,0.9212486692311429,1.0,0.46493182115909176,0.89929510558600945
MUC17,30,1.0,0.9212486692311429,1.0,0.0015107254828104438,0.89953174073446962
PTPRT,18,1.0,0.9212486692311429,1.0,0.0020466064679778209,0.89953174073446962
GRIN2B,16,1.0,0.9212486692311429,1.0,0.0055859169848652013,0.89953174073446962
DCHS2,16,1.0,0.9212486692311429,1.0,0.008566340225093675,0.89953174073446962
CSMD2,28,1.0,0.9212486692311429,1.0,0.0088853468943927514,0.89953174073446962
KIAA1409,10,1.0,0.9212486692311429,1.0,0.012002266770829537,0.89953174073446962
XIRP2,33,1.0,0.9212486692311429,1.0,0.012002266770829537,0.89953174073446962
FAM135B,34,1.0,0.9212486692311429,1.0,0.017885929722634877,0.89953174073446962
HMCN1,20,1.0,0.9212486692311429,1.0,0.018103510500351035,0.89953174073446962
ABCB5,14,1.0,0.9212486692311429,1.0,0.026315102089812067,0.89953174073446962
PLXNA1,11,1.0,0.9212486692311429,1.0,0.026371688385782684,0.89953174073446962
TMEM132B,11,1.0,0.9212486692311429,1.0,0.032938798212991623,0.89953174073446962
COL5A2,14,1.0,0.9212486692311429,1.0,0.034321527169747151,0.89953174073446962
CD163,13,1.0,0.9212486692311429,1.0,0.037861782283244813,0.89953174073446962
TMEM131,11,1.0,0.9212486692311429,1.0,0.042565663379721619,0.89953174073446962
PCNT,11,1.0,0.9212486692311429,1.0,0.04818899306378286,0.89953174073446962
ABCC12,15,1.0,0.9212486692311429,1.0,0.054863751624380834,0.89953174073446962
PDE4DIP,24,1.0,0.9212486692311429,1.0,0.056534618456299326,0.89953174073446962
