bcr_sample_barcode	bcr_analyte_barcode	experimental_protocol_type	protocol_file_name	protocol_name
TCGA-BA-5153-10A	TCGA-BA-5153-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-BA-5555-01A	TCGA-BA-5555-01A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-BA-5555-01A	TCGA-BA-5555-01A-01R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-BA-5555-01A	TCGA-BA-5555-01A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-BA-5555-10A	TCGA-BA-5555-10A-01D	Pre-extracted DNA received by TSS	[Not Available]	[Not Available]
TCGA-BA-5555-10A	TCGA-BA-5555-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-BA-5556-01A	TCGA-BA-5556-01A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-BA-5556-01A	TCGA-BA-5556-01A-01R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-BA-5556-01A	TCGA-BA-5556-01A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-BA-5556-10A	TCGA-BA-5556-10A-01D	Pre-extracted DNA received by TSS	[Not Available]	[Not Available]
TCGA-BA-5556-10A	TCGA-BA-5556-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-BA-5557-01A	TCGA-BA-5557-01A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-BA-5557-01A	TCGA-BA-5557-01A-01R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-BA-5557-01A	TCGA-BA-5557-01A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-BA-5557-10A	TCGA-BA-5557-10A-01D	Pre-extracted DNA received by TSS	[Not Available]	[Not Available]
TCGA-BA-5557-10A	TCGA-BA-5557-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-BA-5558-01A	TCGA-BA-5558-01A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-BA-5558-01A	TCGA-BA-5558-01A-01R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-BA-5558-01A	TCGA-BA-5558-01A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-BA-5558-10A	TCGA-BA-5558-10A-01D	Pre-extracted DNA received by TSS	[Not Available]	[Not Available]
TCGA-BA-5558-10A	TCGA-BA-5558-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-BA-5559-01A	TCGA-BA-5559-01A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-BA-5559-01A	TCGA-BA-5559-01A-01R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-BA-5559-01A	TCGA-BA-5559-01A-01W	Repli-G	[Not Available]	[Not Available]
